sex,subj,agem,experiment,cost,hv_side,first_fam,first_test,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,avg_lv,avg_hv,lv1,lv2,hv1,hv2,prop.lv,prop.hv,pref.raw
f,S1_18,9.43,Exp.1,Barriers,left,HL,HV,60,60,37.77,60,54.53,12.2,20.6,54.48,9.27,8.19,47.42,284.5,31.34,14.94,54.48,8.19,20.6,9.27,0.597349,0.402651,LV
f,S1_16,9.63,Exp.1,Barriers,right,HL,HV,60,60,60,60,60,38.72,60,41.59,16.9,48.4,56.45,338.72,45,38.45,41.59,48.4,60,16.9,0.575293,0.424707,LV
f,S1_3,9.7,Exp.1,Barriers,right,HL,HV,60,60,60,60,18.18,10.7,60,60,18.46,52.83,44.81,268.88,56.42,39.23,60,52.83,60,18.46,0.620529,0.379471,LV
f,S1_17,9.73,Exp.1,Barriers,right,LH,HV,60,60,60,4.78,60,10.76,12.44,13.5,60,10.31,42.59,255.54,11.91,36.22,13.5,10.31,12.44,60,0.333534,0.666466,HV
m,S1_11,9.8,Exp.1,Barriers,left,HL,HV,60,60,48.73,60,29.89,36.65,52.47,18.15,34.18,30.82,49.21,295.27,24.49,43.33,18.15,30.82,52.47,34.18,0.365582,0.634418,HV
f,S1_8,9.8,Exp.1,Barriers,right,LH,HV,60,60,55.23,60,60,60,3.31,12.66,1.71,17.33,59.21,355.23,15,2.51,12.66,17.33,3.31,1.71,0.851463,0.148537,LV
f,S1_15,9.87,Exp.1,Barriers,left,LH,HV,50.16,60,14.5,60,26.02,15.39,30.25,27.23,NA 9.85,NA,37.68,226.07,27.23,30.25,27.23,NA,30.25,NA,0.47373,0.52627,HV
m,S1_4,9.87,Exp.1,Barriers,left,LH,HV,60,31.28,4.94,4.97,3.77,4.17,15.26,21.75,13.12,24.77,18.19,109.13,23.26,14.19,21.75,24.77,15.26,13.12,0.620707,0.379293,LV
m,S1_23,9.97,Exp.1,Barriers,left,LH,HV,60,29.65,17.41,25.62,19.66,25.89,8.67,22.46,21.8,21.91,29.71,178.23,22.19,15.24,22.46,21.91,8.67,21.8,0.611374,0.388626,LV
f,S1_13,10.17,Exp.1,Barriers,right,LH,HV,60,60,60,40.67,28.57,10.77,7.22,6.86,NA 6.5,NA,43.34,260.01,6.86,7.22,6.86,NA,7.22,NA,0.487216,0.512784,HV
f,S1_22,10.43,Exp.1,Barriers,right,HL,HV,60,60,60,29.98,19.33,46.7,22.1,8.45,8.92,30.49,46,276.01,19.47,15.51,8.45,30.49,22.1,8.92,0.525129,0.474871,LV
m,S1_1,10.5,Exp.1,Barriers,left,HL,HV,60,60,60,60,59.12,9.75,32.8,6.38,14.2,60,51.48,308.87,33.19,23.5,6.38,60,32.8,14.2,0.485732,0.514268,LV
f,S1_2,9.6,Exp.1,Barriers,left,HL,LV,60,60,37.83,25.99,56.68,38.89,17.48,60,26.73,7.2,46.57,279.39,22.11,33.6,17.48,26.73,60,7.2,0.506703,0.493297,HV
f,S1_24,9.67,Exp.1,Barriers,left,LH,LV,60,60,60,7.87,60,9.06,59.25,48.48,30.86,29.82,42.82,256.93,45.06,39.15,59.25,30.86,48.48,29.82,0.529278,0.470722,LV
f,S1_6,9.73,Exp.1,Barriers,left,LH,LV,60,60,60,54.82,41.28,19.1,23.59,6.99,6.06,7.47,49.2,295.2,14.83,7.23,23.59,6.06,6.99,7.47,0.609656,0.390344,LV
f,S1_10,9.9,Exp.1,Barriers,left,LH,LV,60,60,50.06,23.11,13.93,14.26,54.04,20.82,11.82,19.46,36.89,221.36,32.93,20.14,54.04,11.82,20.82,19.46,0.549879,0.450121,LV
m,S1_12,9.9,Exp.1,Barriers,right,LH,LV,60,60,60,37.15,13.48,51.68,33.26,45.95,5.65,14.07,47.05,282.31,19.46,30.01,33.26,5.65,45.95,14.07,0.353204,0.646796,HV
m,S1_7,9.9,Exp.1,Barriers,right,LH,LV,60,60,60,12.31,28.68,6.3,60,47.76,32.3,8.25,37.88,227.29,46.15,28.01,60,32.3,47.76,8.25,0.67667,0.32333,LV
f,S1_14,9.97,Exp.1,Barriers,right,HL,LV,60,11.14,56.06,60,32.97,28.77,17.37,9.95,12.22,6.71,41.49,248.94,14.8,8.33,17.37,12.22,9.95,6.71,0.640667,0.359333,LV
f,S1_21,10.07,Exp.1,Barriers,left,HL,LV,60,16.2,25.8,60,6.78,16.06,36.1,8.3,8.53,8.41,30.81,184.84,22.32,8.36,36.1,8.53,8.3,8.41,0.658302,0.341698,LV
m,S1_5,10.1,Exp.1,Barriers,right,HL,LV,60,60,60,60,60,60,42.11,45.75,9.08,8.59,60,360,25.6,27.17,42.11,9.08,45.75,8.59,0.496575,0.503425,HV
m,S1_19,10.27,Exp.1,Barriers,right,LH,LV,60,60,48.29,5.38,12.77,19.32,11.17,11.4,11.8,10.24,34.29,205.76,11.49,10.82,11.17,11.8,11.4,10.24,0.515147,0.484853,LV
f,S1_9,10.27,Exp.1,Barriers,left,HL,LV,60,60,60,60,60,60,58.83,17.33,58.3,10.47,60,360,58.57,13.9,58.83,58.3,17.33,10.47,0.810103,0.189897,LV
m,S1_20,10.53,Exp.1,Barriers,right,HL,LV,60,60,46.36,18.56,10.22,13.45,46.77,18.05,57.4,13.34,34.77,208.59,52.09,15.7,46.77,57.4,18.05,13.34,0.766479,0.233521,LV
f,S2_14,9.47,Exp.2,Ramps,left,LH,HV,60,60,49.32,46.89,60,54.65,60,60,58.09,44.37,55.14,330.86,52.19,59.05,60,44.37,60,58.09,0.466524,0.533476,HV
